Projeto de LEI,Projeto de Lei - Regex,sigla,numero,ano,Origem Dados,camara_projeto,camara_ementa,camara_data_ultima_tramitacao,camara_orgao_ultima_tramitacao,camara_descricao_tramitacao,camara_situacao_ultima_tramitacao,camara_despacho_ultima_tramitacao,camara_data_parecer_aprovado,camara_orgao_parecer,camara_despacho_parecer,camara_link_inteiro_teor_parecer,camara_link_inteiro_teor_pl,camara_link_ficha_tramitacao,camara_data_proposta_pl,camara_propositor_pl,camara_partido,camara_estado,camara_emendas,camara_substitutivos,senado_projeto,senado_ementa,senado_data_ultima_tramitacao,senado_orgao_ultima_tramitacao,senado_situacao_ultima_tramitacao,senado_data_parecer_aprovado,senado_orgao_parecer,senado_link_inteiro_teor_parecer,senado_link_inteiro_teor_pl,senado_link_ficha_tramitacao,senado_data_proposta_pl,senado_propositor_pl,senado_partido,senado_estado,senado_emendas,senado_substitutivos,Nº,Processo,Descrição,Encaminhamento prévio - Teams/E-mail,1º Encaminhamento - Rementente,1º Encaminhamento - Despacho /Ofício,1º Encaminhamento - Data,1º Encaminhamento - Prazo p/ Resposta,2º Encaminhamento - Remetente,2º Encaminhamento - Despacho,2º Encaminhamento - Data,2º Encaminhamento - Prazo p/ Resposta,3º Encaminhamento - Remetente,3º Encaminhamento - Despacho,3º Encaminhamento - Data,3º Encaminhamento - Prazo p/ Resposta,Período de elaboração da Análise - Quantidade de dias úteis,Envio para a Delog - Data,Envio ao Gabinete da Seges - Data,Validação pelo gabinete da Seges - Quantidade de dias úteis,Assinaturas - Data,Manifestação da Seges - Nota técnica,Andamento do PL - Data/Detalhamento,Observações andamento - Parecer,camara_id_proposicao,senado_id_processo,senado_codigo_materia
PL nº 545/2024 ,PL 545/2024,PL,545,2024,Câmara + Senado,PL 545/2024,"Altera a Lei nº 14.002, de 22 de maio de 2020, e a Lei nº 11.771, de 17 de setembro de 2008, para atualizar e aprimorar o regime jurídico a que se submete a Agência Brasileira de Promoção Internacional do Turismo - Embratur.  NOVA EMENTA: Altera as Leis nºs 14.002, de 22 de maio de 2020, e 11.771, de 17 de setembro de 2008, para atualizar e aprimorar o regime jurídico a que se submete a Agência Brasileira de Promoção Internacional do Turismo (Embratur); e altera a Lei nº 12.462, de 4 de agosto de 2011.",25/06/2024,MESA,Transformação em Norma Jurídica,Transformado em Norma Jurídica,Transformado na Lei Ordinária 14901/2024. DOU 26/06/24 PÁG 01 COL 02.,04/09/2024,PLEN,"Designado Relator, Dep. Leur Lomanto Júnior (UNIÃO-BA), para proferir Parecer em Plenário pela Comissão de Relações Exteriores e de Defesa Nacional.",,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2391284,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419197,05/03/2024,José Guimarães,PT,CE,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2419197&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2419197,PL 545/2024,"Altera as Leis nºs 14.002, de 22 de maio de 2020, e 11.771, de 17 de setembro de 2008, para atualizar e aprimorar o regime jurídico a que se submete a Agência Brasileira de Promoção Internacional do Turismo (Embratur); e altera a Lei nº 12.462, de 4 de agosto de 2011.",26/06/2024,SEXPE - Secretaria de Expediente,"(PR) PRESIDÊNCIA DA REPÚBLICA.
SANCIONADA. LEI 14901 DE 2024.
DOU (Diário Oficial da União) - 26/06/2024 - Seção I - págs. 1 e 2.
Sancionada em 25/06/2024.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9582882&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/163053,11/04/2024,Câmara dos Deputados,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/163053,https://www25.senado.leg.br/web/atividade/materias/-/materia/163053,23,14022.046680/2024-40,"""Altera as Leis nºs 14.002, de 22 de maio de 2020, e 11.771, de 17 de setembro de 2008, para atualizar e aprimorar o regime jurídico a que se submete a Agência Brasileira de Promoção Internacional do Turismo (Embratur); e altera a Lei nº 12.462, de 4 de agosto de 2011."",",xxx,Presidência da Repúbica (Urgente),OFÍCIO CIRCULAR Nº 118/2024/SALEG/SAJ/CC/PR (SEI 42927144) ,17/06/2024,21/06/2024,Assessoria Estratégica SEGES (Urgente),Despacho MGI -SEGES-ASSEST (SEI 42927275),18/06/2024,19/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42930498),18/06/2024,19/06/2024,1,19/06/2024,20/06/2024,1,20/06/2024,"Diante desses apontamentos, Sr. Secretário, sugere-se que a SEGES não indique óbice à sanção do texto conforme consta dos Autógrafos remetidos pelo Congresso ao Executivo. No entanto, avalia-se necessário que faça conhecidas suas preocupações e riscos apontados nesta Nota e na manifestação da DEMOR que, caso não sejam tratadas no bojo da regulamentação da Lei, do Contrato de Gestão e da governança da Embratur, poderão gerar riscos desnecessários em sua atuação.","Após tramitação na Câmara dos Deputados, o projeto foi aprovado e encaminhado ao Senado Federal, onde também recebeu aprovação.

Em 25 de junho de 2024, o projeto foi sancionado, tornando-se a Lei Ordinária nº 14.901, de 2024, conforme publicação no Diário Oficial da União em 26 de junho de 2024.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2419197,2419197,8645716,163053
PL nº 249/2018,PL 249/2018,PL,249,2018,Não encontrado,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24,18001.001529/2024-81,"""Institui o projeto Adote um Museu e o Dia Nacional do Museu, para incentivar ações de preservação e de valorização da memória histórica, artística e cultural por meio de doação de bens""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 81713/2024/MGI (SEI 42921448),18/06/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI42971459),18/06/2024,24/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42974505),19/06/2024,21/06/2024,3,21/06/2024,25/06/2024,1,25/06/2024,"Diante do exposto, esta unidade técnica, dentro de seu espectro de atuação (indicado no item 2 desta Nota Técnica), informa que não encontra óbice ao prosseguimento do feito e, nesta oportunidade, considerando o mérito e o texto do PL nº 3.639, de 2019 (SEI º n42921352), entende-se que a matéria deve ser submetida ao crivo da Secretaria de Patrimônio da União (SPU), unidade deste Ministério da Gestão e da Inovação em Serviços Públicos (MGI) responsável pela gestão do patrimônio da União.","Situação Atual Tramitação encerrada Aguardando sanção

Decisão:
Aprovada por Comissão em decisão terminativa
Destino:
À Câmara dos Deputados
Último estado:
18/06/2019 - REMETIDA À CÂMARA DOS DEPUTADOS",https://www25.senado.leg.br/web/atividade/materias/-/materia/133351,,,
PL nº 3905/2021,PL 3905/2021,PL,3905,2021,Câmara + Senado,PL 3905/2021,"Estabelece o marco regulatório do fomento à cultura, no âmbito da administração pública da União, dos Estados, do Distrito Federal e dos Municípios.",02/07/2024,MESA,Apresentação de Proposição,Transformado em Norma Jurídica,"Recebido Ofício nº 625/2024-SF que comunica restituição de autógrafo do PL 3905/2021, sancionado.",,CCP,Parecer recebido para publicação.,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2100544,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2305816,05/11/2021,Áurea Carolina; Benedita da Silva; Túlio Gadêlha; Alice Portugal; Lídice da Mata (+12),PSOL,MG,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2305816&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2305816,PL 3905/2021,"Estabelece o marco regulatório do fomento à cultura, no âmbito da administração pública da União, dos Estados, do Distrito Federal e dos Municípios.",02/07/2024,SEXPE - Secretaria de Expediente,"Remetido Ofício SF nº 625, de 02/07/24, ao Senhor Primeiro-Secretário da Câmara dos Deputados comunicando, para os devidos fins, que a Presidência da República encaminhou ao Senado Federal a Mensagem n° 410, de 2024, na origem, restituindo autógrafos do Projeto de Lei n° 3.905, de 2021, sancionado e transformado na Lei nº 14.903, de 27 de junho de 2024.

À COARQ.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9603370&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/163475,09/05/2024,Câmara dos Deputados,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/163475,https://www25.senado.leg.br/web/atividade/materias/-/materia/163475,25,14022.046048/2024-04,"""estabelece o marco regulatório do fomento à cultura, no âmbito da administração pública da União, dos Estados, do Distrito Federal e dos Municípios""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos (Urgente),Despacho MGI-GM- ASPAR (SEI 42780501),12/06/2024,14/06/2024,Assessoria Estratégica SEGES (Urgente),Despacho MGI -SEGES-ASSEST (427818696),12/06/2024,13/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42781899),12/06/2024,13/06/2024,1,13/06/2024,13/06/2024,1,13/06/2024,"Considerando o acima exposto, esta Secretaria de Reformas Econômicas manifesta-se de forma favorável ao PL nº 3.905/2021, não apresentando vetos à proposta.","     Situação: Transformada na Lei Ordinária 14903/2024                      Em 27 de junho de 2024, o projeto foi transformado na Lei Ordinária nº 14.903/2024, conforme publicação no Diário Oficial da União em 28 de junho de 2024. 
CÂMARA DOS DEPUTADOS

Portanto, o projeto foi sancionado e convertido em lei, concluindo sua tramitação legislativa.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2305816,2305816,8659240,163475
PL nº 5464/2020,PL 5464/2020,PL,5464,2020,Câmara + Senado,PL 5464/2020,Dispõe sobre a oferta de acolhimento institucional específico para crianças e adolescentes vítimas de violência sexual.,19/12/2025,MESA,Apresentação de Proposição,Aguardando Apreciação pelo Senado Federal,Remessa ao Senado Federal por meio do Of. nº  808/2025/PS-GSE.,,CCP,"Encaminhada à publicação. Parecer da Comissão de Constituição e Justiça e de Cidadania Publicado em avulso e no DCD de 16/10/2025 PÁG 783, Letra C.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=3074007,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=1949552,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2266631,10/12/2020,Iracema Portella,PP,PI,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2266631&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2266631,PL 5464/2020,Dispõe sobre a oferta de acolhimento institucional para crianças e adolescentes vítimas de violência sexual.,12/03/2026,CDH - Comissão de Direitos Humanos e Legislação Participativa,"Distribuído ao Senador Vanderlan Cardoso, para emitir relatório.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=10140861&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/172311,19/12/2025,Câmara dos Deputados,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/172311,https://www25.senado.leg.br/web/atividade/materias/-/materia/172311,26,18001.001631/2024-87,""" ""Dispõe sobre a oferta de acolhimento institucional específico para crianças e adolescentes vítimas de violência sexual""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos,OFÍCIO SEI Nº 88297/2024/MGI (SEI 43281555),01/07/2024,08/07/2024,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 43290726),02/07/2024,08/07/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 43298197),02/07/2024,05/07/2024,4,05/07/2024,16/07/2024,1,17/07/2024,contrária ao PL,"Em 14 de agosto de 2024, a Comissão de Finanças e Tributação (CFT) aprovou parecer favorável ao projeto, com substitutivo, apresentado pela Deputada Laura Carneiro (PSD-RJ). 
CÂMARA DOS DEPUTADOS

Atualmente, o projeto aguarda designação de relator na Comissão de Constituição e Justiça e de Cidadania (CCJC). 
CÂMARA DOS DEPUTADOS

Após a apreciação na CCJC, o projeto seguirá para deliberação no Plenário da Câmara dos Deputados.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2266631,2266631,8981104,172311
Projeto de Lei nº 1086/2024,PL 1086/2024,PL,1086,2024,Câmara + Senado,PL 1086/2024,"Altera a Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para estabelecer margem de preferência nas aquisições de bens compostáveis ou eficientes no uso de energia, água ou materiais, e de bens e serviços que atendam a critérios de sustentabilidade, e dá outras providências.",12/09/2025,MESA,Recebimento,Aguardando Despacho do Presidente da Câmara dos Deputados (Chancela),"Recebido o Ofício n° 871/2025 do Senado Federal, que submete à revisão da Câmara dos Deputados, nos termos do art. 65 da Constituição Federal, o Projeto de Lei nº 1.086, de 2024, de autoria do Senador Fernando Farias, constante do autógrafo em anexo, que “Altera a Lei nº 14.133, de 1º de abril de 2021 (Lei de Licitações e Contratos Administrativos), para estabelecer margem de preferência nas aquisições de bens compostáveis ou eficientes no uso de energia, água ou materiais, e de bens e serviços que atendam a critérios de sustentabilidade, e dá outras providências”.",,,,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2999988,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2560792,11/09/2025,Senado Federal - Fernando Farias,N/A,N/A,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2560792&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2560792,PL 1086/2024,"Altera a Lei nº 14.133, de 1º de abril de 2021, a Lei de Licitações e Contratos Administrativos, para estabelecer margem de preferência para os modelos movidos a biocombustíveis ou a hidrogênio nas compras e locações de veículos automotores, bem como para os biocombustíveis e o hidrogênio verde nas compras de combustíveis para o abastecimento de veículos automotores.",11/09/2025,SEXPE - Secretaria de Expediente,"Remetido Ofício SF nº 871, de 11/09/25, ao Senhor Primeiro-Secretário da Câmara dos Deputados, encaminhando autógrafo do projeto para revisão, nos termos do art. 65 da Constituição Federal.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9575921&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/162901,03/04/2024,Fernando Farias,MDB,AL,https://www25.senado.leg.br/web/atividade/materias/-/materia/162901,https://www25.senado.leg.br/web/atividade/materias/-/materia/162901,27,18001.001636/2024-18," ""Altera a Lei nº 14.133, de 1º de abril de 2021, a Lei de Licitações e Contratos Administrativos, para estabelecer margem de preferência para os modelos movidos a biocombustíveis ou a hidrogênio nas compras e locações de veículos automotores, bem como para os biocombustíveis e o hidrogênio verde nas compras de combustíveis para o abastecimento de veículos automotores"".",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos (Urgente),OFÍCIO SEI Nº 30025/2024/MGI (SEI 43488191),08/07/2024,08/07/2024,Chefia de gabinete SEGES (Urgente),Despacho MGI -SEGES (SEI 4113502),08/07/2024,08/07/2024,xxx,xxx,,,1,08/07/2024,08/07/2024,5,12/07/2024,"Nesse sentido, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, manifesta-se favorável com ressalvas à proposta de atualização da Lei nº 14.133, de 2021, de autoria do Senador Fernando Farias (MDB/AL), conforme os apontamentos exarados na presente Nota Técnica pela supressão do art. 2º, visto já haver legislação vigente que dispõe sobre os conceitos ali elencados, bem como dos §§ a serem acrescidos ao art. 26 da Lei nº 14.133, de 2021, e com a alteração da redação do inciso II do mesmo artigo.","Situação Atual Em tramitação

Relator atual:
Senador Cid Gomes
Último local:
09/07/2024 - Comissão de Serviços de Infraestrutura
Último estado:
09/07/2024 - MATÉRIA COM A RELATORIA",https://www25.senado.leg.br/web/atividade/materias/-/materia/162901,2560792,8641777,162901
PL  nº 2225/2023,PL 2225/2023,PL,2225,2023,Câmara,PL 2225/2023,"Altera a Lei nº 13.303, de 30 de junho de 2016 para estender a adesão ao Sistema de Registro de Preços a órgãos da Administração Direta e a Lei nº 14.133, de 1º de abril de 2021.",10/02/2026,CCJC,Saída de Relator(a) da Comissão - Sem Parecer Apresentado,Aguardando Designação - Aguardando Devolução de Relator(a) que deixou de ser Membro,"(Instalação da Comissão) O Relator, Dep. Zé Haroldo Cathedral, não integrava a Comissão na data da instalação (deixou de ser membro em 31/01/2026)",02/10/2026,CCJC,"(Instalação da Comissão) O Relator, Dep. Zé Haroldo Cathedral, não integrava a Comissão na data da instalação (deixou de ser membro em 31/01/2026)",,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2265026,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2358824,27/04/2023,Daniel Soranz,PSD,RJ,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2358824&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2358824,,,,,,,,,,,,,,,,,28,18001.001694/2024-33,"""Altera a Lei nº 13.303, de 30 de junho de 2016 para estender a adesão ao Sistema de Registro de Preços a órgãos da Administração Direta e a Lei nº 14.133, de 1º de abril de 2021.""",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos (Urgente),OFÍCIO SEI Nº 91998/2024/MGI (SEI 43496465),08/07/2024,09/07/2024,Assessoria Estratégica SEGES (Urgente),Despacho MGI -SEGES-ASSEST (SEI 43534589),10/07/2024,10/07/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 18001.001694/2024-33),10/07/2024,10/07/2024,1,10/07/2024,10/07/2024,,,contrária ao PL,"Em 14 de agosto de 2024, a Comissão de Finanças e Tributação (CFT) aprovou parecer favorável ao projeto, apresentado pela Deputada Laura Carneiro (PSD-RJ), que concluiu pela não implicação da matéria em aumento ou diminuição da receita ou da despesa públicas e, no mérito, pela aprovação. 
CÂMARA DOS DEPUTADOS

Atualmente, o projeto aguarda designação de relator na Comissão de Constituição e Justiça e de Cidadania (CCJC). 
CÂMARA DOS DEPUTADOS

Após a apreciação na CCJC, o projeto seguirá para deliberação no Plenário da Câmara dos Deputados.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2358824,2358824,,
PL nº 1.006/2022,PL 1006/2022,PL,1006,2022,Câmara + Senado,PL 1006/2022,"Institui a Lei Geral das Atividades Espaciais e altera a Lei nº 8.854, de 10 de fevereiro de 1994.",07/07/2025,MESA,Apresentação de Proposição,Transformado em Norma Jurídica,"Recebido Ofício nº 608/2025-SF que comunica a restituição de autógrafo do veto parcial ao PL 1006/2022 (Veto nº 19/2024), promulgado.",12/06/2023,CCP,Parecer recebido para publicação.,,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2160326,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2320339,25/04/2022,Pedro Lucas Fernandes,UNIÃO,MA,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2320339&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2320339,PL 1006/2022,Institui normas aplicáveis a atividades espaciais nacionais.,07/07/2025,SEXPE - Secretaria de Expediente,"Remetido Ofício SF nº 608, de 07/07/25, ao Senhor Primeiro-Secretário da Câmara dos Deputados comunicando, para os devidos fins, que a Presidência da República encaminhou ao Senado Federal a Mensagem n° 820, de 2025, na origem, restituindo autógrafos do Projeto de Lei n°1.006, de 2022, sancionado e transformado na Lei nº 14.946, de 31 de julho de 2024.
À COARQ.",,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9602798&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/163442,09/05/2024,Câmara dos Deputados,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/163442,https://www25.senado.leg.br/web/atividade/materias/-/materia/163442,29,14022.056663/2024-11,“Institui normas aplicáveis a atividades espaciais nacionais”. ,xxx,Assessoria Especial de Assuntos Parlamentares e Federativos (Urgente),Despacho MGI-GM- ASPAR (SEI 4374156) ,18/07/2024,19/07/2024,Assessoria Estratégica SEGES (Urgente),Despacho MGI -SEGES-ASSEST (SEI 43750932),18/07/2024,19/07/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 43752210),18/07/2024,19/07/2024,1,19/07/2024,19/07/2024,1,19/07/2024,"Nesse sentido, observadas as atribuições regimentais desta Secretaria de Gestão e Inovação, manifestamo-nos de forma favorável à sanção do Projeto de Lei nº 1.006, de 2022, especificamente com relação ao dispositivo que disciplina a hipótese de dispensa de licitação.","Em 31 de julho de 2024, o projeto foi sancionado, tornando-se a Lei Ordinária nº 14.946/2024, conforme publicação no Diário Oficial da União em 1º de agosto de 2024. 
CÂMARA DOS DEPUTADOS

Portanto, o projeto foi aprovado e convertido em lei, concluindo sua tramitação legislativa.",https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2320339,2320339,8658672,163442
Medida Provisória nº 1.221/2024 ,MPV 1221/2024,MPV,1221,2024,Câmara + Senado,MPV 1221/2024,"Dispõe sobre medidas excepcionais para a aquisição de bens e a contratação de obras e de serviços, inclusive de engenharia, destinados ao enfrentamento de impactos decorrentes de estado de calamidade pública.",18/11/2024,MESA,Apresentação de Proposição,Perdeu a Eficácia,"Apresentação do DOC n. 1533/2024 (Ofício do Congresso Nacional), pelo CN        , que ""Comunica término do prazo para edição de decreto legislativo - MPV 1.221/2024, em 12 de novembro de 2024 (Of. 328/2024/CN)"".",,PLEN,"Recebido Ofício nº 113/2024-SGM/CN, que, de ordem, comunica que estão constituídas as Comissões Mistas incumbida de emitir pareceres sobres as Medidas Provisórias nos 1219 a 1222, 1224, 1226 a 1230 e 1232 de 2024.  O calendário de tramitação e a composição da Comissão Mista podem ser acessados pelas páginas das respectivas matérias no Portal do Congresso Nacional.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2439012,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2427343,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2434642,17/05/2024,Poder Executivo,N/A,N/A,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2434642&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2434642,MPV 1221/2024,"Dispõe sobre medidas excepcionais para a aquisição de bens e a contratação de obras e de serviços, inclusive de engenharia, destinados ao enfrentamento de impactos decorrentes de estado de calamidade pública.",08/04/2025,SEXPE - Secretaria de Expediente,A matéria vai ao arquivo.,,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9612600&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/163708,17/05/2024,Presidência da República,,,https://www25.senado.leg.br/web/atividade/materias/-/materia/163708,https://www25.senado.leg.br/web/atividade/materias/-/materia/163708,30,18001.001371/2024-40 ,"""Emendas apresentadas perante a Comissão Mista destinada a apreciar a Medida Provisória n°
1221, de 2024, que ""Dispõe sobre medidas excepcionais para a aquisição de bens e a
contratação de obras e de serviços, inclusive de engenharia, destinados ao
enfrentamento de impactos decorrentes de estado de calamidade pública.""_x000D_",xxx,Assessoria Especial de Assuntos Parlamentares e Federativos ,OFÍCIO SEI Nº 71341/2024/MGI (SEI 42371603),28/05/2024,,Assessoria Estratégica SEGES ,Despacho MGI -SEGES-ASSEST (SEI 42459910),03/06/2024,10/06/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 42463988),03/06/2024,,5,11/06/2024,,,,"Diante do exposto, esta Delog e Central posicionam-se pela aprovação da Medida Provisória nº 1.221, de 2024, observada as considerações técnicas e sugestões de emendas apresentadas, respectivamente, no quadro dos itens 10 e 11 desta Nota Técnica.","Situação Atual

Último estado
SEM EFICÁCIA",https://www.congressonacional.leg.br/materias/medidas-provisorias/-/mpv/163708,2434642,8665951,163708
"Projeto de Lei nº 4687, de 2023",PL 4687/2023,PL,4687,2023,Senado,,,,,,,,,,,,,,,,,,,,PL 4687/2023,"Altera a Lei nº 14.133, de 1º de abril de 2021, para permitir que os Estados, os Municípios e o Distrito Federal possam prever a obrigatoriedade de programas de integridade em editais de licitação segundo sua realidade e necessidades locais.",13/11/2024,"CCJ - Comissão de Constituição, Justiça e Cidadania",Matéria aguardando distribução.,,,,https://legis.senado.gov.br/sdleg-getter/documento?dm=9468754&disposition=inline,https://www25.senado.leg.br/web/atividade/materias/-/materia/160206,27/09/2023,Sergio Moro,UNIÃO,PR,https://www25.senado.leg.br/web/atividade/materias/-/materia/160206,https://www25.senado.leg.br/web/atividade/materias/-/materia/160206,31,18001.000918/2024-90,"""altera a Lei nº 14.133, de 1º de abril de 2021, para permitir que os Estados, os Municípios e o Distrito Federal possam prever a obrigatoriedade de programas de integridade em editais de licitação segundo sua realidade e necessidades locais"".",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,  OFÍCIO SEI Nº 47550/2024/MGI (SEI 41409975),17/04/2024,24/04/2025,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 41513140),18/04/2025,02/05/2025,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 41541078),19/04/2025,30/04/2025,8,02/05/2025,26/08/2025,63,27/08/2025,"Diante do exposto, esta unidade técnica, dentro de seu espectro de atuação (indicado no item 2 desta Nota Técnica), posiciona-se favoravelmente ao Projeto de Lei nº 4687, de 2023 (SEI 41409557), bem como às Emendas apresentadas no bojo do Parecer Comissão de Transparência, Governança, Fiscalização e Controle e Defesa do Consumidor (SEI 41409704), desde que observado o item 16 deste Nota Técnica, propondo, no item 17, uma emenda aditiva e sua respectiva justificação para aprimoramento das regras para as contratações de obras, serviços e fornecimentos quando houver a adoção de prestação de garantia, com a inclusão de cláusula de retomada,",,,,8551217,160206
"Projeto de Lei nº 587, de 2022 ",PL 587/2022,PL,587,2022,Câmara,PL 587/2022,"Institui a Política Federal TI Verde, para promover a reutilização e reciclagem de computadores e acessórios descartados pelos órgãos públicos federais.",11/12/2024,CCP,Publicação de Proposição,Aguardando Designação de Relator(a),"Encaminhada à publicação. Parecer da Comissão de Ciência, Tecnologia e Inovação. Publicado em avulso e no DCD de 12/12/2024 PÁG 1701, Letra B.",12/11/2024,CCP,"Encaminhada à publicação. Parecer da Comissão de Ciência, Tecnologia e Inovação. Publicado em avulso e no DCD de 12/12/2024 PÁG 1701, Letra B.",https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2865769,https://www.camara.leg.br/proposicoesWeb/prop_mostrarintegra?codteor=2148757,https://www.camara.leg.br/proposicoesWeb/fichadetramitacao?idProposicao=2318002,15/03/2022,Carlos Henrique Gaguim,UNIÃO,TO,https://www.camara.leg.br/proposicoesWeb/prop_emendas?idProposicao=2318002&subst=0,https://www.camara.leg.br/proposicoesWeb/prop_pareceres_substitutivos_votos?idProposicao=2318002,,,,,,,,,,,,,,,,,32,18001.002475/2024-90,"""institui a Política Federal TI Verde, para promover a reutilização e reciclagem de computadores e acessórios descartados pelos órgãos públicos federais""",xxx,Assessoria Especial de Assuntos Parlamentares Federativos ,Ofício SEI nº 141448/2024/MGI (SEI 45561729) ,08/10/2024,18/10/2024,Assessoria Estratégica SEGES ,Despacho -SEGES - ASSEST (SEI 45596834),09/10/2024,31/10/2024,Gabinete da Delog ,Despacho MGI-SEGES-DELOG (SEI 45607211 ),09/10/2024,29/10/2024,14,31/10/2024,01/11/2024,21,01/11/2024,"Diante do exposto, esta unidade técnica manifesta-se favoravelmente ao Substitutivo (SEI 45561705, págs. 5-6), desde que acatada a sugestão redacional apresentada no item 16 desta Nota Técnica.",,,2318002,,
